name,source,gender,wikidata,type
Bahnhofplatz,wikidata,,Q224494,way
Felix-und-Regula-Platz,wikidata,,Q114723;Q27322838;Q27323313,way
Idaplatz,wikidata,,Q644599,way
Maneggbrücke,wikidata,,Q691236,way
Rathausbrücke,wikidata,,Q9315546,way
Sechseläutenplatz,wikidata,,Q520500,relation
Aargauerstrasse,,,,way
Abeggweg,,,,way
Abendweg,,,,way
Achermannweg,,,,way
Ackermannstrasse,,,,way
Ackersteinstrasse,,,,way
Ackerstrasse,,,,way
"Adlisberg Trail",,,,way
Adlisbergbachweg,,,,way
Adlisbergstrasse,,,,way
Aegertenstrasse,,,,way
Aegertenweg,,,,way
Aehrenweg,,,,way
Aemmerliweg,,,,way
Aemtlerstrasse,,,,way
Affolternstrasse,,,,way
Agleistrasse,,,,way
Agnesstrasse,,,,way
Ahornstrasse,,,,way
Akazienstrasse,,,,way
"Albert Schumacher-Weg",,,,way
Albertstrasse,,,,way
Albisgütliweg,,,,way
Albisriederplatz,,,,way
Albisriederstrasse,,,,relation+way
Albisriederweg,,,,way
Albisstrasse,,,,way
Albulastrasse,,,,way
Alderstrasse,,,,way
Alemannensteig,,,,way
Algierstrasse,,,,way
Allenmoosstrasse,,,,way
Allenwiesliweg,,,,way
Allmannstrasse,,,,way
Allmendsteg,,,,way
Allmendstrasse,,,,way
Allmendtrail,,,,way
Allmendweg,,,,way
"Alte Feldeggstrasse",,,,way
"Alte Forchstrasse",,,,way
"Alte Gockhauserstrasse",,,,way
"Alte Kalchbühlstrasse",,,,way
"Alte Mühlackerstrasse",,,,way
"Alte Regensdorferstrasse",,,,way
"Alte Zürichstrasse",,,,way
Altenhofstrasse,,,,way
"Alter Kirchenweg",,,,way
Althoossteig,,,,way
Althoosstrasse,,,,way
Altstetterplatz,,,,way
Altstetterstrasse,,,,way
Altweg,,,,way
Altwiesenstrasse,,,,way
"Am Bach",,,,way
"Am Börtli",,,,way
"Am Giessen",,,,way
"Am Glattbogen",,,,way
"Am Guggenberg",,,,way
"Am Holbrig",,,,way
"Am Hönggerberg",,,,way
"Am Katzenbach",,,,way
"Am Luchsgraben",,,,way
"Am Oeschbrig",,,,way
"Am Rank",,,,way
"Am Sägertenbach",,,,way
"Am Schanzengraben",,,,way
"Am Suteracher",,,,way
"Am Wasser",,,,way
"Am Wettingertobel",,,,way
Amazonenstrasse,,,,way
Amazonenweg,,,,way
Ameisenweg,,,,way
Ampèrestrasse,,,,way
Amselsteig,,,,way
"An der Specki",,,,way
Andreasstrasse,,,,way
Anemonenstrasse,,,,way
Angelikaweg,,,,way
Angererstrasse,,,,way
Ankengasse,,,,way
Ankenweid,,,,way
Ankerstrasse,,,,relation
Anwandstrasse,,,,relation
Apfelbaumstrasse,,,,way
Apollostrasse,,,,way
Appenzellerstrasse,,,,way
Appenzellerweg,,,,way
Aprikosenstrasse,,,,way
Arbentalstrasse,,,,way
Arbenzstrasse,,,,way
Arianestrasse,,,,way
Arminstrasse,,,,way
Arnikaweg,,,,way
Arosasteig,,,,way
Arosastrasse,,,,way
Arterstrasse,,,,way
Arthur-Rohn-Strasse,,,,way
Arvenweg,,,,way
Aspholzstrasse,,,,way
Aspweg,,,,way
Asternweg,,,,way
Asylstrasse,,,,way
Attenhoferstrasse,,,,way
Aubrigstrasse,,,,way
Aubruggstrasse,,,,way
Aubruggweg,,,,way
"Auf der Egg",,,,way
"Auf der Mauer",,,,way
August-Forel-Strasse,,,,way
Augustinergasse,,,,way
Augustinerhof,,,,way
Auhofstrasse,,,,way
Aurorastrasse,,,,way
Ausserdorfstrasse,,,,way
Ausstellungsstrasse,,,,way
Austrasse,,,,way
Auwiesenstrasse,,,,way
Auzelg,,,,way
Azurstrasse,,,,way
Baalweg,,,,way
Bächlerstrasse,,,,way
Bachmannweg,,,,way
Bachmattstrasse,,,,way
Bachmattweg,,,,way
Bachofnerstrasse,,,,way
Bachstrasse,,,,way
Bachtelweg,,,,way
Bachtobelstrasse,,,,way
Bachtobelweg,,,,way
Bächtoldstrasse,,,,way
Bachwiesenstrasse,,,,way
Bachwiesenweg,,,,way
Bäckerstrasse,,,,relation
Badenerstrasse,,,,relation+way
Badergasse,,,,way
Badstrasse,,,,way
Badweg,,,,way
Bahnhaldenstrasse,,,,way
Bahnhofbrücke,,,,way
Bahnhofpassage,,,,relation
Bahnhofquai,,,,way
Bahnhofstrasse,,,,way
Bahnweg,,,,way
Balberstrasse,,,,way
Balderngasse,,,,way
Balgriststrasse,,,,way
Balgristweg,,,,way
Ballonstrasse,,,,way
